('[2024-05-25 13:11:48]', '[4.2093,3.6159,1.1187,4.1416,1.2389,1.7462]', '[-0.4604,0.0430,-0.4228,-0.1756,0.3359,0.0001]', '[1.7296,2.7173,-0.2772,0.1564,-0.3960,0.2109]')
('[2024-05-25 13:11:48]', '[4.1670,3.6181,1.0725,4.1109,1.2731,1.7465]', '[-0.3074,0.0078,-0.4438,-0.3614,0.2534,-0.0000]', '[-6.3202,0.2138,-5.1280,2.3985,2.8138,0.1991]')
('[2024-05-25 13:11:48]', '[4.1409,3.6184,1.0345,4.0870,1.2999,1.7476]', '[-0.3126,-0.0000,-0.4347,-0.2619,0.3079,0.0281]', '[-14.0775,-3.2347,-9.7689,4.3551,4.9375,0.3036]')
('[2024-05-25 13:11:48]', '[4.1102,3.6160,0.9845,4.0587,1.3325,1.7510]', '[-0.3137,-0.0535,-0.5191,-0.2642,0.3080,0.0453]', '[-14.3958,-1.4180,-6.2536,3.4326,4.0042,0.2205]')
('[2024-05-25 13:11:48]', '[4.0884,3.6108,0.9401,4.0336,1.3637,1.7558]', '[-0.2626,-0.0774,-0.5218,-0.2940,0.3329,0.0873]', '[-12.8097,1.0131,-4.9485,3.6488,4.2658,0.4266]')
('[2024-05-25 13:11:48]', '[4.0702,3.6062,0.8945,4.0053,1.3947,1.7616]', '[-0.2156,-0.1020,-0.4969,-0.2669,0.3566,0.0968]', '[-13.4807,1.2474,-4.9104,3.4012,3.6096,0.2333]')
('[2024-05-25 13:11:48]', '[4.0520,3.5983,0.8498,3.9795,1.4280,1.7685]', '[-0.2150,-0.0660,-0.5122,-0.1918,0.4673,0.0788]', '[-5.8714,0.2944,-0.5237,1.0019,1.6102,0.4842]')
('[2024-05-25 13:11:48]', '[4.0299,3.5929,0.8046,3.9594,1.4640,1.7734]', '[-0.1830,-0.0402,-0.5073,-0.2085,0.3337,0.0337]', '[-0.5447,-0.2101,0.3566,-0.5515,0.1354,0.2022]')
('[2024-05-25 13:11:48]', '[4.0028,3.5807,0.7192,3.9102,1.5257,1.7857]', '[-0.1260,-0.1065,-0.4758,-0.3254,0.4122,0.0686]', '[-1.3551,0.2218,-1.2222,0.1540,-0.0459,0.2239]')
('[2024-05-25 13:11:49]', '[3.9925,3.5714,0.6686,3.8808,1.5589,1.7929]', '[-0.0867,-0.1134,-0.5201,-0.2891,0.4158,0.0873]', '[-0.4756,-0.5090,-0.5243,-0.1340,0.0724,0.2285]')
('[2024-05-25 13:11:49]', '[3.9879,3.5600,0.6290,3.8528,1.5965,1.8019]', '[-0.0419,-0.1348,-0.4511,-0.2920,0.3950,0.0884]', '[-1.0751,-0.0452,-1.5133,0.5916,0.3374,0.1410]')
('[2024-05-25 13:11:49]', '[3.9862,3.5479,0.5877,3.8217,1.6345,1.8106]', '[-0.0096,-0.1224,-0.4608,-0.3452,0.3547,0.0489]', '[-0.3916,0.4292,-0.4775,0.2319,-0.0669,0.1610]')
('[2024-05-25 13:11:49]', '[3.9859,3.5387,0.5500,3.7938,1.6694,1.8164]', '[-0.0000,-0.0892,-0.4158,-0.2908,0.3164,0.0541]', '[-0.6442,-0.0686,-1.3377,0.2587,-0.0165,0.1522]')
('[2024-05-25 13:11:49]', '[3.9860,3.5304,0.5136,3.7664,1.7026,1.8217]', '[-0.0000,-0.0969,-0.3236,-0.3029,0.3090,0.0511]', '[-0.1937,-0.1040,-0.1084,-0.0693,-0.1930,0.1800]')
('[2024-05-25 13:11:49]', '[3.9874,3.5217,0.4805,3.7382,1.7319,1.8275]', '[0.0445,-0.1215,-0.2848,-0.3134,0.2392,0.1041]', '[-0.3835,-0.8120,-0.3872,0.0582,0.0846,0.2150]')
('[2024-05-25 13:11:49]', '[3.9914,3.5104,0.4505,3.7014,1.7612,1.8372]', '[0.0548,-0.1175,-0.2710,-0.4219,0.2630,0.1103]', '[-0.5140,-0.5906,-0.0942,0.1691,0.1923,0.1573]')
('[2024-05-25 13:11:49]', '[3.9964,3.5004,0.4327,3.6699,1.7818,1.8471]', '[0.0606,-0.1534,-0.2109,-0.3646,0.1971,0.1536]', '[-0.5040,-0.3040,-0.4191,0.2295,0.1279,0.2576]')
('[2024-05-25 13:11:49]', '[4.0018,3.4904,0.4202,3.6363,1.7963,1.8583]', '[0.0730,-0.1111,-0.1108,-0.3400,0.1610,0.1328]', '[-0.4110,-0.2463,-0.6403,0.2380,0.0064,0.1366]')
('[2024-05-25 13:11:50]', '[4.0072,3.4824,0.4115,3.6044,1.8100,1.8674]', '[0.0395,-0.0829,-0.1021,-0.3373,0.1180,0.0873]', '[0.1424,-0.3626,0.3555,-0.3584,-0.0193,0.1230]')
('[2024-05-25 13:11:50]', '[4.0201,3.4669,0.4043,3.5380,1.8278,1.8883]', '[0.0656,-0.0869,-0.0238,-0.3659,0.0875,0.1558]', '[0.1033,-0.1235,-0.6120,-0.2026,-0.1370,0.0778]')
('[2024-05-25 13:11:50]', '[4.0256,3.4599,0.4040,3.5010,1.8335,1.9023]', '[0.0520,-0.0685,-0.0078,-0.4234,0.0440,0.1455]', '[0.2289,-0.0405,-0.2932,-0.1497,-0.1664,0.0840]')
('[2024-05-25 13:11:50]', '[4.0330,3.4541,0.4042,3.4599,1.8360,1.9203]', '[0.0690,-0.0595,-0.0000,-0.3913,0.0174,0.2054]', '[0.4461,-0.1614,0.6878,-0.7610,-0.1882,0.2448]')
('[2024-05-25 13:11:50]', '[4.0383,3.4492,0.4068,3.4162,1.8365,1.9390]', '[0.0304,-0.0354,0.0169,-0.4156,-0.0113,0.1827]', '[-0.0055,-0.2142,-0.0646,0.0126,-0.0653,0.1387]')
('[2024-05-25 13:11:50]', '[4.0414,3.4454,0.4108,3.3732,1.8363,1.9571]', '[0.0231,-0.0360,0.0404,-0.4712,-0.0113,0.2127]', '[0.4985,-0.1692,0.1929,-0.5261,-0.2565,0.2441]')
('[2024-05-25 13:11:50]', '[4.0429,3.4434,0.4161,3.3286,1.8348,1.9767]', '[0.0049,-0.0156,0.0508,-0.5390,-0.0402,0.1985]', '[-0.2686,-0.0077,-0.6241,-0.1286,-0.1366,0.2110]')
('[2024-05-25 13:11:50]', '[4.0436,3.4429,0.4233,3.2791,1.8322,2.0013]', '[0.0000,-0.0078,0.0871,-0.5212,-0.0227,0.2736]', '[0.4664,0.1680,-0.0508,-0.2617,-0.3179,0.1662]')
('[2024-05-25 13:11:50]', '[4.0437,3.4426,0.4334,3.2219,1.8273,2.0283]', '[-0.0092,-0.0053,0.1054,-0.4951,-0.0750,0.2814]', '[0.4336,0.0628,-0.4289,-0.1565,-0.3387,0.2670]')
('[2024-05-25 13:11:51]', '[4.0436,3.4426,0.4459,3.1671,1.8216,2.0564]', '[-0.0092,-0.0000,0.1351,-0.5760,-0.0667,0.3951]', '[0.4500,0.0396,-0.8784,-0.5097,-0.4083,0.2555]')
('[2024-05-25 13:11:51]', '[4.0435,3.4426,0.4580,3.1204,1.8186,2.0823]', '[-0.0092,-0.0000,0.1431,-0.6178,-0.0472,0.3082]', '[-0.2757,0.0556,-0.0812,0.1384,-0.1499,0.0309]')
('[2024-05-25 13:11:51]', '[4.0414,3.4426,0.4689,3.0733,1.8147,2.1084]', '[-0.0537,-0.0078,0.1161,-0.5364,-0.0790,0.2506]', '[0.0241,0.1524,-0.2747,-0.1874,-0.2540,0.1848]')
('[2024-05-25 13:11:51]', '[4.0370,3.4426,0.4781,3.0262,1.8078,2.1331]', '[-0.0693,-0.0000,0.0874,-0.5018,-0.0987,0.3072]', '[0.6761,-0.2165,-0.4571,-0.2216,-0.4361,0.0914]')
('[2024-05-25 13:11:51]', '[4.0217,3.4427,0.5070,2.9254,1.7855,2.1931]', '[-0.1109,-0.0000,0.1457,-0.5717,-0.1496,0.3142]', '[0.1328,0.2852,-0.2416,-0.1695,-0.2710,0.3230]')
('[2024-05-25 13:11:51]', '[4.0110,3.4433,0.5227,2.8751,1.7747,2.2307]', '[-0.1104,0.0078,0.1456,-0.4666,-0.1124,0.3842]', '[0.4752,-0.1801,0.3575,-0.5129,-0.1558,0.1120]')
('[2024-05-25 13:11:51]', '[4.0008,3.4445,0.5380,2.8322,1.7638,2.2631]', '[-0.1175,0.0233,0.1750,-0.4821,-0.1348,0.3933]', '[0.2347,-0.0849,0.0533,-0.4264,-0.3197,0.2601]')
('[2024-05-25 13:11:51]', '[3.9870,3.4470,0.5562,2.7916,1.7522,2.3027]', '[-0.1315,0.0255,0.2034,-0.3962,-0.1270,0.4275]', '[0.0700,0.0642,-0.4505,0.0910,-0.1693,0.0053]')
('[2024-05-25 13:11:51]', '[3.9740,3.4503,0.5745,2.7542,1.7431,2.3420]', '[-0.1216,0.0213,0.1823,-0.3374,-0.0621,0.3250]', '[0.3162,-0.0146,-0.6437,-0.2806,-0.2833,0.2251]')
('[2024-05-25 13:11:52]', '[3.9621,3.4544,0.5916,2.7213,1.7342,2.3806]', '[-0.1462,0.0280,0.2064,-0.3044,-0.1015,0.4232]', '[0.2346,0.3849,-0.8366,-0.3294,-0.3239,0.1800]')
('[2024-05-25 13:11:52]', '[3.9507,3.4578,0.6091,2.6963,1.7274,2.4147]', '[-0.1232,0.0302,0.1765,-0.3030,-0.0629,0.3746]', '[-0.0538,0.0365,-0.3876,-0.2191,-0.1726,0.2470]')
('[2024-05-25 13:11:52]', '[3.9380,3.4628,0.6277,2.6754,1.7217,2.4470]', '[-0.1605,0.0692,0.2019,-0.2715,-0.1237,0.3512]', '[0.0146,0.2174,-0.3226,-0.1344,-0.2223,0.2250]')
