[0.0332, 0.0332, -0.0332, 0.0032, 0.0332, -0.0217]
[0.0664, 0.0664, -0.0664, 0.0064, 0.0664, -0.0435]
[0.0996, 0.0996, -0.0996, 0.0097, 0.0996, -0.0652]
[0.1328, 0.1328, -0.1328, 0.0129, 0.1328, -0.0869]
[0.1660, 0.1660, -0.1660, 0.0161, 0.1660, -0.1087]
[-0.0332, -0.0368, -0.0410, -0.0107, -0.0086, -0.0332]
[-0.0664, -0.0658, -0.0742, -0.0214, -0.0058, -0.0664]
[-0.0996, -0.0948, -0.1074, -0.0321, -0.0031, -0.0996]
[-0.1328, -0.1238, -0.1406, -0.0428, -0.0003, -0.1328]
[-0.1660, -0.1528, -0.1738, -0.0535, 0.0024, -0.1660]
[-0.0424, -0.0368, -0.0463, -0.0218, -0.0069, -0.0445]
[-0.0756, -0.0658, -0.0795, -0.0322, -0.0025, -0.0777]
[-0.1088, -0.0948, -0.1127, -0.0427, 0.0019, -0.1109]
[-0.1420, -0.1238, -0.1459, -0.0531, 0.0064, -0.1441]
[-0.1752, -0.1528, -0.1791, -0.0636, 0.0108, -0.1773]
[-0.0531, -0.0748, -0.0849, -0.0205, -0.0081, -0.0523]
[-0.0863, -0.1048, -0.1181, -0.0297, -0.0049, -0.0855]
[-0.1195, -0.1349, -0.1513, -0.0389, -0.0017, -0.1187]
[-0.1527, -0.1649, -0.1845, -0.0481, 0.0015, -0.1519]
[-0.1859, -0.1950, -0.2177, -0.0573, 0.0047, -0.1851]
[-0.0531, -0.0748, -0.0849, -0.0205, -0.0081, -0.0523]
[-0.0863, -0.1048, -0.1181, -0.0297, -0.0049, -0.0855]
[-0.1195, -0.1349, -0.1513, -0.0389, -0.0017, -0.1187]
[-0.1527, -0.1649, -0.1845, -0.0481, 0.0015, -0.1519]
[-0.1859, -0.1950, -0.2177, -0.0573, 0.0047, -0.1851]
[-0.1105, -0.1172, -0.1316, -0.0226, -0.0003, -0.1164]
[-0.1437, -0.1486, -0.1648, -0.0340, 0.0108, -0.1496]
[-0.1769, -0.1801, -0.1980, -0.0453, 0.0218, -0.1828]
[-0.2101, -0.2115, -0.2312, -0.0566, 0.0329, -0.2160]
[-0.2433, -0.2430, -0.2644, -0.0679, 0.0440, -0.2492]
[-0.1127, -0.1385, -0.1359, -0.0192, -0.0053, -0.1498]
[-0.1459, -0.1702, -0.1691, -0.0271, 0.0008, -0.1830]
[-0.1791, -0.2019, -0.2023, -0.0350, 0.0069, -0.2162]
[-0.2123, -0.2335, -0.2355, -0.0428, 0.0130, -0.2494]
[-0.2455, -0.2652, -0.2687, -0.0507, 0.0190, -0.2826]
[-0.1127, -0.1322, -0.1605, -0.0436, 0.0117, -0.1324]
[-0.1459, -0.1636, -0.1937, -0.0529, 0.0235, -0.1656]
[-0.1791, -0.1950, -0.2269, -0.0622, 0.0352, -0.1988]
[-0.2123, -0.2264, -0.2601, -0.0715, 0.0470, -0.2320]
[-0.2455, -0.2578, -0.2933, -0.0807, 0.0587, -0.2652]
[-0.1409, -0.1898, -0.1869, -0.0190, 0.0132, -0.1722]
[-0.1741, -0.2230, -0.2201, -0.0247, 0.0263, -0.2054]
[-0.2073, -0.2562, -0.2533, -0.0304, 0.0395, -0.2386]
[-0.2405, -0.2894, -0.2865, -0.0360, 0.0526, -0.2718]
[-0.2737, -0.3226, -0.3197, -0.0417, 0.0658, -0.3050]
[-0.2170, -0.2043, -0.2253, -0.0352, 0.0223, -0.2401]
[-0.2502, -0.2368, -0.2585, -0.0414, 0.0447, -0.2733]
[-0.2834, -0.2692, -0.2917, -0.0477, 0.0670, -0.3065]
[-0.3166, -0.3017, -0.3249, -0.0540, 0.0894, -0.3397]
[-0.3498, -0.3342, -0.3581, -0.0603, 0.1117, -0.3729]
[-0.3041, -0.3000, -0.2137, -0.0585, 0.0323, -0.2982]
[-0.3373, -0.3332, -0.2427, -0.0676, 0.0647, -0.3314]
[-0.3705, -0.3664, -0.2717, -0.0768, 0.0970, -0.3646]
[-0.4037, -0.3996, -0.3007, -0.0860, 0.1293, -0.3978]
[-0.4369, -0.4328, -0.3296, -0.0951, 0.1616, -0.4310]
[-0.3041, -0.3000, -0.2133, -0.0578, 0.0307, -0.2982]
[-0.3373, -0.3332, -0.2419, -0.0664, 0.0614, -0.3314]
[-0.3705, -0.3664, -0.2705, -0.0750, 0.0921, -0.3646]
[-0.4037, -0.3996, -0.2991, -0.0835, 0.1229, -0.3978]
[-0.4369, -0.4328, -0.3277, -0.0921, 0.1536, -0.4310]
[-0.3067, -0.3183, -0.3094, -0.0615, 0.0857, -0.3882]
[-0.3399, -0.3507, -0.3393, -0.0629, 0.1042, -0.4214]
[-0.3731, -0.3832, -0.3693, -0.0643, 0.1228, -0.4546]
[-0.4063, -0.4156, -0.3992, -0.0657, 0.1413, -0.4878]
[-0.4395, -0.4480, -0.4291, -0.0671, 0.1598, -0.5210]
[-0.4025, -0.3781, -0.2986, -0.0709, 0.1172, -0.4425]
[-0.4357, -0.4113, -0.3199, -0.0768, 0.1477, -0.4757]
[-0.4689, -0.4445, -0.3413, -0.0827, 0.1781, -0.5089]
[-0.5021, -0.4777, -0.3626, -0.0885, 0.2085, -0.5421]
[-0.5353, -0.5109, -0.3839, -0.0944, 0.2390, -0.5753]
[-0.4195, -0.4314, -0.3036, -0.0530, 0.1030, -0.3896]
[-0.4527, -0.4646, -0.3223, -0.0608, 0.1362, -0.4228]
[-0.4859, -0.4978, -0.3410, -0.0686, 0.1694, -0.4560]
[-0.5191, -0.5310, -0.3597, -0.0764, 0.2026, -0.4892]
[-0.5523, -0.5642, -0.3784, -0.0843, 0.2358, -0.5224]
[-0.3809, -0.4174, -0.3023, -0.0576, 0.1451, -0.4603]
[-0.4141, -0.4506, -0.3232, -0.0638, 0.1783, -0.4935]
[-0.4473, -0.4838, -0.3441, -0.0700, 0.2115, -0.5267]
[-0.4805, -0.5170, -0.3650, -0.0762, 0.2447, -0.5599]
[-0.5137, -0.5502, -0.3859, -0.0824, 0.2779, -0.5931]
[-0.4391, -0.4751, -0.3835, -0.0634, 0.1569, -0.5460]
[-0.4723, -0.5083, -0.3999, -0.0661, 0.1864, -0.5792]
[-0.5055, -0.5415, -0.4164, -0.0687, 0.2160, -0.6124]
[-0.5387, -0.5747, -0.4328, -0.0714, 0.2455, -0.6456]
