[0.0332, 0.0332, -0.0332, 0.0032, 0.0332, -0.0217]
[0.0664, 0.0664, -0.0664, 0.0064, 0.0664, -0.0435]
[0.0996, 0.0996, -0.0996, 0.0097, 0.0996, -0.0652]
[0.1328, 0.1328, -0.1328, 0.0129, 0.1328, -0.0869]
[0.1660, 0.1660, -0.1660, 0.0161, 0.1660, -0.1087]
[-0.0424, -0.0263, -0.0332, 0.0332, -0.0442, -0.0444]
[-0.0756, -0.0449, -0.0664, 0.0664, -0.0770, -0.0774]
[-0.1088, -0.0635, -0.0996, 0.0996, -0.1099, -0.1104]
[-0.1420, -0.0820, -0.1328, 0.1328, -0.1427, -0.1435]
[-0.1752, -0.1006, -0.1660, 0.1660, -0.1755, -0.1765]
[-0.0424, -0.0266, -0.0332, 0.0332, -0.0445, -0.0441]
[-0.0756, -0.0455, -0.0664, 0.0664, -0.0777, -0.0769]
[-0.1088, -0.0643, -0.0996, 0.0996, -0.1109, -0.1096]
[-0.1420, -0.0832, -0.1328, 0.1328, -0.1441, -0.1424]
[-0.1752, -0.1020, -0.1660, 0.1660, -0.1773, -0.1752]
[-0.0946, -0.0445, -0.0870, 0.0947, -0.0781, -0.1018]
[-0.1278, -0.0600, -0.1202, 0.1249, -0.1074, -0.1350]
[-0.1610, -0.0754, -0.1534, 0.1551, -0.1368, -0.1682]
[-0.1942, -0.0908, -0.1866, 0.1853, -0.1661, -0.2014]
[-0.2274, -0.1062, -0.2198, 0.2154, -0.1955, -0.2346]
[-0.1430, -0.0738, -0.1207, 0.1225, -0.1638, -0.1790]
[-0.1762, -0.0861, -0.1539, 0.1478, -0.1893, -0.2122]
[-0.2094, -0.0984, -0.1871, 0.1731, -0.2148, -0.2454]
[-0.2426, -0.1108, -0.2203, 0.1983, -0.2404, -0.2786]
[-0.2758, -0.1231, -0.2535, 0.2236, -0.2659, -0.3118]
[-0.0876, -0.0765, -0.1076, 0.1065, -0.1066, -0.1046]
[-0.1208, -0.0905, -0.1408, 0.1370, -0.1284, -0.1378]
[-0.1540, -0.1046, -0.1740, 0.1675, -0.1502, -0.1710]
[-0.1872, -0.1186, -0.2072, 0.1980, -0.1721, -0.2042]
[-0.2204, -0.1326, -0.2404, 0.2285, -0.1939, -0.2374]
[-0.1409, -0.0714, -0.1189, 0.1211, -0.1295, -0.1553]
[-0.1741, -0.0831, -0.1521, 0.1417, -0.1513, -0.1885]
[-0.2073, -0.0948, -0.1853, 0.1624, -0.1730, -0.2217]
[-0.2405, -0.1064, -0.2185, 0.1830, -0.1947, -0.2549]
[-0.2737, -0.1181, -0.2517, 0.2036, -0.2164, -0.2881]
[-0.1453, -0.1039, -0.1433, 0.1251, -0.1379, -0.1874]
[-0.1785, -0.1148, -0.1765, 0.1492, -0.1563, -0.2206]
[-0.2117, -0.1258, -0.2097, 0.1732, -0.1747, -0.2538]
[-0.2449, -0.1368, -0.2429, 0.1973, -0.1932, -0.2870]
[-0.2781, -0.1477, -0.2761, 0.2213, -0.2116, -0.3202]
[-0.1904, -0.0770, -0.1841, 0.1355, -0.1815, -0.2048]
[-0.2236, -0.0839, -0.2173, 0.1513, -0.1937, -0.2380]
[-0.2568, -0.0909, -0.2505, 0.1671, -0.2058, -0.2712]
[-0.2900, -0.0978, -0.2837, 0.1829, -0.2180, -0.3044]
[-0.3232, -0.1047, -0.3169, 0.1987, -0.2301, -0.3376]
[-0.1803, -0.0585, -0.1746, 0.1040, -0.1294, -0.2277]
[-0.2135, -0.0651, -0.2078, 0.1220, -0.1392, -0.2609]
[-0.2467, -0.0716, -0.2410, 0.1400, -0.1491, -0.2941]
[-0.2799, -0.0781, -0.2742, 0.1580, -0.1589, -0.3273]
[-0.3131, -0.0847, -0.3074, 0.1760, -0.1688, -0.3605]
[-0.1803, -0.0585, -0.1746, 0.1040, -0.1294, -0.2277]
[-0.2135, -0.0651, -0.2078, 0.1220, -0.1392, -0.2609]
[-0.2467, -0.0716, -0.2410, 0.1400, -0.1491, -0.2941]
[-0.2799, -0.0781, -0.2742, 0.1580, -0.1589, -0.3273]
[-0.3131, -0.0847, -0.3074, 0.1760, -0.1688, -0.3605]
[-0.2117, -0.0690, -0.2048, 0.0950, -0.1527, -0.2578]
[-0.2449, -0.0703, -0.2380, 0.1067, -0.1521, -0.2910]
[-0.2781, -0.0715, -0.2712, 0.1185, -0.1515, -0.3242]
[-0.3113, -0.0727, -0.3044, 0.1302, -0.1509, -0.3574]
[-0.3445, -0.0739, -0.3376, 0.1420, -0.1502, -0.3906]
[-0.2389, -0.0747, -0.2493, 0.1251, -0.1281, -0.3683]
[-0.2721, -0.0758, -0.2825, 0.1318, -0.1242, -0.4015]
[-0.3053, -0.0768, -0.3157, 0.1385, -0.1204, -0.4347]
[-0.3385, -0.0778, -0.3489, 0.1452, -0.1165, -0.4679]
[-0.3717, -0.0788, -0.3821, 0.1519, -0.1126, -0.5011]
[-0.2417, -0.0569, -0.2171, 0.0852, -0.1269, -0.3105]
[-0.2749, -0.0525, -0.2503, 0.0901, -0.1058, -0.3437]
[-0.3081, -0.0480, -0.2835, 0.0950, -0.0848, -0.3769]
[-0.3413, -0.0436, -0.3167, 0.0998, -0.0638, -0.4101]
[-0.3745, -0.0391, -0.3499, 0.1047, -0.0428, -0.4433]
[-0.2462, -0.0461, -0.2154, 0.0727, -0.0874, -0.2735]
[-0.2794, -0.0484, -0.2486, 0.0797, -0.0781, -0.3067]
[-0.3126, -0.0508, -0.2818, 0.0867, -0.0687, -0.3399]
[-0.3458, -0.0531, -0.3150, 0.0937, -0.0593, -0.3731]
[-0.3790, -0.0554, -0.3482, 0.1007, -0.0500, -0.4063]
[-0.2261, -0.0306, -0.2426, 0.0468, -0.0058, -0.3246]
[-0.2593, -0.0302, -0.2758, 0.0565, 0.0171, -0.3578]
[-0.2925, -0.0297, -0.3090, 0.0663, 0.0401, -0.3910]
[-0.3257, -0.0292, -0.3422, 0.0760, 0.0630, -0.4242]
[-0.3589, -0.0288, -0.3754, 0.0857, 0.0860, -0.4574]
[-0.2505, -0.0377, -0.2780, 0.0715, -0.0056, -0.3508]
[-0.2837, -0.0381, -0.3112, 0.0769, 0.0115, -0.3840]
[-0.3169, -0.0384, -0.3444, 0.0824, 0.0286, -0.4172]
[-0.3501, -0.0387, -0.3776, 0.0878, 0.0457, -0.4504]
